"INSTNM","sector_desc","RAPE13","RAPE5","RAPE6","RAPE7","RAPE8","RAPE9","RAPE10","RAPE11","RAPE12","RAPE14","RAPE15"
"Ari Ben Aviator","not Dertermined yet",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Ari Ben Aviator","Private for-profit, less-than 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Aria Health School of Nursing","Private nonprofit, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Arizona Academy of Beauty-East","Private for-profit, less-than 2-year",0,NA,NA,NA,NA,0,0,0,0,0,0
"Arizona Academy of Beauty-North","Private for-profit, less-than 2-year",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"Arizona Academy of Beauty Inc","Private for-profit, less-than 2-year",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"Arizona Automotive Institute","Private for-profit, 2-year",NA,0,0,0,0,0,0,0,0,NA,NA
"Arizona Automotive Institute","Private for-profit, less-than 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Arizona Christian University","Private nonprofit, 4-year or above",0,NA,NA,NA,NA,0,0,0,0,0,0
"Arizona College-Glendale","Private for-profit, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Arizona College of Allied Health","Private for-profit, 2-year",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"Arizona Culinary Institute","Private for-profit, less-than 2-year",0,NA,NA,0,0,NA,NA,NA,NA,0,0
"Arizona School of Acupuncture and Oriental Medicine","Private for-profit, 4-year or above",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arizona State University","Public, 4-year or above",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arizona State University-Tempe","Public, 4-year or above",9,NA,NA,NA,NA,NA,NA,NA,NA,7,14
"Arizona State University at the West Campus","Public, 4-year or above",NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"Arizona Summit Law School","Private for-profit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Arizona Western College","Public, 2-year",0,0,1,0,0,0,1,1,1,1,0
"Arkadelphia Beauty College","Private for-profit, less-than 2-year",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"Arkansas Baptist College","Private nonprofit, 4-year or above",0,0,0,1,0,2,2,0,1,4,2
"Arkansas Beauty College","not Dertermined yet",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Arkansas Beauty College","Private for-profit, less-than 2-year",0,NA,NA,0,0,0,0,0,0,0,0
"Arkansas Beauty School","Private for-profit, less-than 2-year",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"Arkansas Beauty School-Little Rock","Private for-profit, less-than 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Arkansas College of Barbering and Hair Design","Private for-profit, less-than 2-year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
